country,n,mu,sigma^2,phi,tau^2
Burkina Faso,129,0.001662518260847318,4.1100603154487767e-10,14.058198893657295,3.01856992193967
Burundi,200,0.2532459293583631,2.434221532714285,23.828838288431246,1.8731573859219808
Cameroon,123,0.04541561810622747,2.108223368463537,47.762855656840316,1.4168219256143137
Chad,164,6.449465882784214e-4,4.115168764341527,220.0451798084076,0.6023353215095143
Congo (Kinshasa),1071,0.011824711595267904,10.206528308470224,197.75487599742308,1.555667140358554
Cote D'ivoire,400,0.021506315174688147,4.423729412754264,100.68621129407238,1.4975830215459904
Eritrea,131,0.0020920262473936285,4.356297783653127,49.19558990574992,1.015766544365338
Ethiopia,139,0.0029865912908741974,16.576965449829437,458.88942299516486,7.034163663720603
Gabon,96,0.005013560098940537,0.09332392301626447,4.362260639611686,0.07799895342841402
Kenya,913,8.633389124661942e-5,23.31532730112586,90.79162705266062,1.133073866927591
Liberia,936,0.06746480362013725,4.513418099502976,104.62828613463354,0.7672079737982882
Madagascar,200,0.006111485090486408,8.644802271603506,107.56070087529093,1.9224957027404912
Malawi,631,0.004228657699137822,1.8389203885281649,46.97603795430896,1.887598467678047
Mali,228,4.515276964098954e-4,10.231574465902739,145.88997556629155,3.7660260560767482
Niger,300,0.0022058697838807564,1.3974350641302031,21.845684453525422,0.7354729325122391
Nigeria,1662,0.0029049200978429274,3.280761099645201,74.98819986646356,0.56164994277379
Rwanda,99,0.005363395125267583,5.372276236588781,14.012729731992884,1.1681514851317586e-12
Senegal,170,4.571641976293431e-5,16.527256817937282,182.99323631388762,2.635876476509384
Sierra Leone,56,0.12295433833096464,6.996258865671058,189.04428303318326,0.7002401555088056
South Africa,157,0.0031083650314017836,0.7327811082836907,487.6966445997716,0.21800976366521627
South Sudan,257,0.02024602057443053,4.481633931077149,123.82632652585293,0.5978948974358597
Swaziland,226,0.00451113812404588,1.8811553071624728e-11,3.338188492967072,0.11559064324932859
Tanzania (Mainland),526,0.0039060711016451004,6.852528016924854,85.00530435568008,0.7597033664574123
The Gambia,105,0.0060682514368551104,0.12444206902270925,1.8421157849020886,2.3493555371799395e-12
Togo,986,0.0036240229300966843,5.542584518621633,38.80979634398876,0.40485004426528176
Uganda,1103,0.03377969784706171,5.814251321809711,53.140339005469116,1.513442206266925
Zambia,101,0.028025677055513162,6.0850750007292556,104.94115839561144,1.8208274061481513
